koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_teq,kepid,kepoi_name,koi_disposition,koi_pdisposition
0.886,0,0,0,0,4.02321842,0.396,2.162,81.2,9.8,747.0,8838950,K02421.02,CANDIDATE,CANDIDATE
0.996,0,0,0,0,7.5017934,0.286,4.271,135.0,9.8,1046.0,6867555,K02439.02,CANDIDATE,CANDIDATE
1.0,0,0,0,0,0.912351255,0.956,1.072,112.0,9.1,1840.0,12208631,K02449.02,CANDIDATE,CANDIDATE
0.709,0,0,0,0,12.4701111,0.569,3.616,89.7,9.3,1074.0,3346543,K06329.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,3.495457889,0.965,6.9796,115000.0,724.0,2051.0,3352751,K06330.01,FALSE POSITIVE,FALSE POSITIVE
0.452,0,0,0,0,5.8229815,0.395,2.8,282.0,8.1,914.0,3356193,K06331.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,4.01668015,0.911,2.2828,38000.0,87.9,1016.0,3427776,K06332.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,1,1.89134156,0.739,5.891,68.4,10.3,1673.0,3437739,K06333.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.881100027,0.829,9.43866,663000.0,3316.5,2946.0,3440230,K06334.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,0,0.806277023,0.697,7.275,70.8,37.9,2046.0,3441340,K06335.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,1,0.513482156,0.004,2.732,91.6,12.6,2072.0,3448323,K06336.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,225.66716,0.3037,16.6,343.0,11.7,331.0,4862625,K06464.02,FALSE POSITIVE,FALSE POSITIVE
0.001,0,0,1,0,4.24748886,0.242,3.053,121.0,10.0,1079.0,4863369,K06465.01,FALSE POSITIVE,FALSE POSITIVE
0.002,0,0,1,0,1.000012952,0.097,1.221,36.0,11.9,2858.0,4863753,K06466.01,FALSE POSITIVE,FALSE POSITIVE
